Category,Description
Operations,Comp 3843 jm config for non posted voucher
IT,#Bug - PS Metals
Other,PDI script
Operations,"Require scrapwt, grosswt ,minlevel, maxlevel, reorderlevel and prodimage column in f"
Operations,"MTA,MTS and Shifthandover not opening through SFM (Main exe)"
Operations,Up down of machine check Point not able to done
Operations,Tab indexing not working in joborderv1
Operations,New dot net modules not opening
Training,S1/2 Linked TKT Test
Training,S2/2 Linked TKT Test
Planning,Location test
Finance,S1/3 Fhcgu
Finance,S2/3 Fhcgu
Finance,S3/3 Fhcgu
Operations,Check all dot net modules
IT,Suggestion/Bug Report
IT,#Bug - Hex
Miscellaneous,Sir plz confirm speedofer payment status
Operations,Release the license keys for all the organisations
Operations,6 scripts and 3 prp of job shade card
Other,"Condoor cheque, swastik, sharda cheque"
IT,Ems Upgradation
Operations,6 scripts to release
Operations,Changes required in job shade card comp no 4538
Operations,Provision of sample work order in eorkorderv1
Operations,Change the amount column from label to text box
IT,Bug - Activity Reconsilliation
IT,Bug - Ticket Remarks touch typing
Operations,Instrument calibration plan
Operations,MINE calibration plan
Miscellaneous,Sharda cheque collect
Operations,Add amount validation in reference adjustment voucher
Other,Cheque drop
Other,Electric shop
IT,IT SFM Bug Login QR
Training,Ticket Substitute test
IT,[Sub] Sub check
IT,[Sub-2] Sub check
IT,[Sub-2] Sub check
IT,[Sub-3] Sub check
IT,[Sub-4] Sub check
Training,Message sumbit errors
Operations,S1/9 Machine maintenance memo
Operations,S2/9 Machine maintenance memo
IT,S1/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
IT,S1/2 BUG CORRCTION
IT,S2/2 BUG CORRCTION
Operations,"9 scripts, 1 Emsvb.exe exe and 1prp"
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,3 scripts to release for upgrade
Operations,Refrence adjustment voucher
Operations,Link purchaseorderv1 and purchase schedule in sfm
Operations,Machine calibration plan
Training,Image test ticket
Training,[Sub] Ticket Substitute test
Training,[Sub-2] Ticket Substitute test
Operations,S3/9 Machine maintenance memo
Operations,S4/9 Machine maintenance memo
Operations,S5/9 Machine maintenance memo
Operations,S6/9 Machine maintenance memo
Operations,S7/9 Machine maintenance memo
Operations,S8/9 Machine maintenance memo
Operations,S9/9 Machine maintenance memo
Operations,S1/9 Machine maintenance feedback memo
Operations,S2/9 Machine maintenance feedback memo
Operations,S3/9 Machine maintenance feedback memo
Operations,S4/9 Machine maintenance feedback memo
Operations,S5/9 Machine maintenance feedback memo
Operations,S6/9 Machine maintenance feedback memo
Operations,S7/9 Machine maintenance feedback memo
Operations,S8/9 Machine maintenance feedback memo
Operations,S9/9 Machine maintenance feedback memo
Operations,Tabbing if instrument master not ok
Operations,Following modules not opening after change in hash tools
Training,Alumex cheque drop
Marketing & Sales,Cheque drop
Miscellaneous,Detol had wash fill in bathroom
Operations,Upgrade number 5574.5637 test key 0008 release
Other,Bank cash withdrawl
Other,S3 machinemaintenancememo
Other,Rajshree system check
Operations,"13 scripts, 3 print files and 1 Emsvb.exe"
Other,BSL mdu setup
Miscellaneous,Swastik network checking
Operations,"10 scripts, 1 print file and 1 prp"
Training,Sfm traning
IT,#Bug - PMT Engineers
Operations,Already mentioned problems
Operations,One script and one menu
Operations,Follow up see the SS
Operations,Production status module
Operations,Check machine maintenance memo
Operations,[Sub] Follow up see the SS
Training,[Sub-6] Message sumbit errors
Training,[Sub] Substitutiin test
Training,Substitution check 2
Training,[Sub-2] Substitution check 2
Operations,2 scripts and 1 print file
IT,#Bug - Encoders India
IT,Suggestion/Bug Report
IT,#Bug - Hex
Training,Guru Amardev ems training
Other,Rajshree system check
Miscellaneous,Pooja metal cheque collect
Planning,Timing
Other,S3/9 machinemaintenancefeedbackmemo
Training,[Sub-2] Message sumbit errors
Training,Substitutiin test
Training,SUB Staged IT
Training,[Sub] S2/4 Staged IT Substitute
Training,[Sub-2] S2/4 Staged IT Substitute
HR,S1/3 IT sub
HR,S2/3 IT sub
HR,S3/3 IT sub
Training,[Sub] [Sub] Substitutiin test
Training,[Sub] Substitute check
Training,[Sub-2] Substitute check
Planning,[Sub] Bbbb
Training,[Sub] Shshs
Planning,[Sub] Test
Planning,[Sub] S2/3 Shshh
Training,[Sub] [Sub-8] Message sumbit errors
IT,Suggestion/Bug Report
IT,#Bug - Hex
Planning,[Sub-2] Gtd
Training,check sub notify
Training,[Sub] check sub notify
IT,#Bug - Encoders India
Other,Check module salereturncomplaintmaster
IT,#Bug - Euro Aircon International
Operations,5 scripts and 4 print files in folder 21_09
IT,#Bug - PS Metals
IT,#Bug - PS Metals
IT,#Bug - PS Metals
IT,User removed from org is unable to join back
Planning,Substitution ticket
Planning,[Sub] Substitution ticket
Operations,S2/4 Hul order 1234
Operations,S3/4 Hul order 1234
Operations,S4/4 Hul order 1234
Operations,Ps metal sfm understanding
Operations,Rajshree led screen
IT,Test
Operations,Steps in word document for designing a module
Operations,Gst invoice provision of TCS addition
Operations,Add one check box field in account master
Training,Sshiba training
Operations,Salary sheet data not coming ok
Training,S1/2 'Xx'''
Training,S2/2 'Xx'''
Other,Get Date of birth of all employees
Training,Check
Operations,Gstr2A auto reconcialation
Operations,Provision of auto routecard generation and production report generation
Operations,1 script and 2 print files
Training,Bhatia Alloys
IT,Sub check
Training,Substitute check
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,[Sub] #Bug - Hex
Operations,S1/4 Hul order 1234
IT,Test
IT,#Bug - PS Metals
Operations,Default packing standard pick from Oakington standard master
Operations,Paste any sheet on the glass of wahroom
Training,demo
Training,[Sub] Substitute example
Training,S1/4 Parallelism check
Training,S2/4 Parallelism check
Training,S3/4 Parallelism check
Training,S4/4 Parallelism check
Training,[Sub-2] Substitute example
IT,#Bug - Release 23/09/2020
IT,#Bug - Release 23/09/2020
IT,#Bug - Release 23/09/2020
IT,#Bug - Release 23/09/2020
Operations,Svarn account master
IT,IT
IT,Ticket Summary
IT,Suggestion/Bug Report
IT,#Bug - Hex
Planning,Hr training sphere
Operations,1 button require in machine masterv1 namely critical spare part
Other,In Machine masterv1 check list button
Logistics,Collect checque
Training,[Sub-3] Message sumbit errors
Training,[Sub-7] Message sumbit errors
Training,S1/4 Staged IT Substitute
Training,S2/4 Staged IT Substitute
Training,S3/4 Staged IT Substitute
Training,S4/4 Staged IT Substitute
Training,[Sub] S3/4 Staged IT Substitute
IT,[Sub] #Bug - PMT Engineers
IT,IT trackhr (2008.21.01)
IT,Test
IT,#Bug - PS Metals
Finance,Credit card statement last and current month
IT,#Bug - Release 23/09/2020
IT,#Bug - Release 23/09/2020
IT,#Bug - Release 23/09/2020
IT,Suggestion/Bug Report
IT,#Bug - Hex
Training,Reminder test
IT,#Bug - Euro Aircon International
IT,#Bug - Release 23/09/2020
IT,#Bug - Release 23/09/2020
IT,#Bug - Euro Aircon International
Planning,Bhatia Alloy points
IT,#Bug - Euro Aircon International
IT,#Bug - Encoders India
Operations,Release 1 script in 25_09 folder
IT,#Bug - Euro Aircon International
IT,#Bug - Arvind Group
Operations,Shiv tool excel sheet import
IT,#Bug - Encoders India
IT,#Bug - Encoders India
IT,#Bug - Encoders India
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Tolerance type + - sign not coming on get value
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Production status tabbing not ok
Operations,Upgrade number 5611.5729 n test key 0005
Operations,Error in linked server script running
Operations,Please provide one of the following documents
Logistics,Collect cheque from xyz
Operations,9 scripts 2 prp and 2 print files
Operations,Visualisation of machine maintenance feedback memo
IT,Bug report complete flow
Logistics,Saac cheque
Operations,Purchase sch vs supply report criteria
Miscellaneous,"Check machine loading ,production report and routecard status"
Training,Alumex zoom meating
Operations,No beep sound on ticketing
IT,[Sub] #Bug - Hex
Planning,[Sub] Gtd
Operations,Harish ji mdu damaged information convey
Planning,Fyvhvu
Training,Substitute example
Training,[Sub] 1
Training,S2/2 Check2
Operations,Balance sheet configuration vslues
IT,#Bug - Encoders India
IT,#Bug - Encoders India
Logistics,Collect cheque from xyz
Marketing & Sales,Mail quotation to xyz
Marketing & Sales,Cash withdrawl
Operations,Gst invoice print format alumax
Operations,Barcode change of hero Honda
Operations,Sale billbook trader coding
Operations,Check machine maintenance feedback memo in upgrade
Operations,Check opening of all modules in main form
Operations,Check machine maintenance memo
Operations,Check machine maintenance feedback memo
Operations,Purchase billbook print out change for alumax
Marketing & Sales,Bsl Haweye Mdu
IT,Toshiba laptop core i5
Training,Process sheet and jobwork block
Operations,Group outstanding details check
Operations,Gst invoice visualisation not ok
Operations,"9 scripts, 2 print files and 6 prp"
Operations,Visualisation of sale return complaint master
Operations,swastik
Finance,check collect at raj hans
Operations,Gst invoice part sorting alumax
Operations,Part description in purchase order ammendment
Operations,Challan making and print out bsl
Training,Guru Amardev training
Training,Promptech training
Training,Promptech training
Operations,Jobwork billbook print modify for alumax
Operations,Nagata electrical bills made
Operations,10 scripts 2 print files for upgrade
Operations,Costing sheet jm print
IT,Changes
IT,#Bug - Euro Aircon International
Operations,10 scripts 4 prp for upgrade
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Finished good master and child part master
Operations,swastik for mdu
Operations,bsl for mdu.
Operations,Documentation of capa Analysis and Imir
Operations,Upgrade number 5635.5771 test key 0003
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,Job shade card
Operations,Require provision to assign group to products
Planning,Gtd
Planning,S1/3 Shshh
Planning,S2/3 Shshh
Planning,S3/3 Shshh
Operations,Leeds Screen
Other,Alumex discussion
Miscellaneous,Webtech cheque collect
Miscellaneous,Webtech cheque collect
Training,[Sub-8] Message sumbit errors
Operations,Provision required in gst inward debit note
Training,[Sub-3] 1
HR,Added field in gst inward debit note
Operations,"16 scripts, 2 prp , 1 Emsvb.exe"
IT,#Bug - Arvind Group
Operations,Saving error in machine maintenance memo
Operations,Visualisation of sale return IT
Operations,Visualisation of capa analysis
Operations,2 scripts to release
IT,#Bug - Euro Aircon International
Operations,Upgradation of viral fabricator
Operations,Parkash auto credit note
Operations,Intalio core sticker
Operations,Upgrade check for capa Analysis
Other,Upgrade check for salereturncomplaintregister
Other,Pc solution
Operations,Account master saving error in 3 plant
Operations,5 scripts and 1 dll
HR,S1/4 Hiring For Hex
HR,S2/4 Hiring For Hex
HR,S3/4 Hiring For Hex
HR,S4/4 Hiring For Hex
Operations,mdu bsl
Other,check
Other,IT sale return IT
Finance,Cash Collection Swastik & Withdarawl
Operations,Order water bottle
Other,Integration salereturn
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,4 scripts for upgrade
IT,#Bug - Euro Aircon International
IT,#Bug - Euro Aircon International
IT,Suggestion/Bug Report
IT,#Bug - Hex
Operations,6 scripts to upgrade
Operations,6 scripts for upgrade
IT,#Bug - UQC Global Certifications
IT,Check notification sound in your phone
Operations,S1/5 Documentation of spare indent in grnv2
Operations,S2/5 Documentation of spare indent in grnv2
Operations,S3/5 Documentation of spare indent in grnv2
Other,Swastik system check
Operations,Purchase and jobwork billbook new field integration
Other,Lunch manage
Training,[Sub] Substitution check 2
HR,[Sub-2] S2/3 IT sub
IT,[Sub] #Bug - Hex
Training,[Sub] [Sub-2] Substitution check 2
Training,[Sub] S1/4 Parallelism check
Training,[Sub-6] 1
Operations,"9 scripts, 2 print files and 2 prp in folder 25_09"
IT,#Bug - UQC Global Certifications
Operations,Finished goods master
HR,[Sub] S1/4 Hiring For Hex
Operations,Order water bottle
Operations,Check gst invoice based on ded amount in account master
IT,#Bug - UQC Global Certifications
IT,#Bug - UQC Global Certifications
IT,#Bug - UQC Global Certifications
Operations,Stock transfer put bill
Operations,Error in import of chasismodelmaster
Other,Link GST service Taxation master and gst taxation master with ShortCutModuleMenuName
Operations,S4/5 Documentation of spare indent in grnv2
Operations,S5/5 Documentation of spare indent in grnv2
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Test
Operations,Salary sheet issue krishna
IT,Ready Hp laptop for Jyoti mam
Operations,Visualisation of sale billbook trader
Miscellaneous,Report to deep sir on Saturday
Operations,Release 4 scripts for upgrade
Marketing & Sales,Rajhans mdu check
Marketing & Sales,Bsl pp22 Mdu check
Operations,Session +Login + Css for IT
Operations,Release upgrade 5635.5771 on 0004 testkey
Operations,Bsl clone urgent basis 09.40 am tomorrow 7.10.20
IT,#Bug - Euro Aircon International
IT,#Bug - Right Advisors Pvt Ltd
Operations,Core sticker printout
Operations,Sale billbook trader print
Operations,Sale billbook trader print proc
Operations,Printer installation
Operations,Bsl clone comp no 4808
IT,#Bug - Euro Aircon International
Operations,Error coming on accept of sale return IT
